Date,Total,Last24
26/03/2020,262,73
27/03/2020,338,76
28/03/2020,416,78
29/03/2020,476,60
30/03/2020,552,76
31/03/2020,600,48
01/04/2020,647,47
02/04/2020,723,76
03/04/2020,772,49
04/04/2020,824,52
05/04/2020,872,48
06/04/2020,911,39
07/04/2020,943,32
08/04/2020,969,26
09/04/2020,992,23
10/04/2020,1009,17
11/04/2020,1029,20
12/04/2020,1049,14
14/04/2020,1072,8
15/04/2020,1078,6
16/04/2020,1084,6
18/04/2020,1094,8
19/04/2020,1098,4
20/04/2020,1105,7
22/04/2020,1113,6
23/04/2020,1114,1
24/04/2020,1116,2
25/04/2020,1119,3
26/04/2020,1123,4
27/04/2020,1124,1
28/04/2020,1126,2
29/04/2020,1127,1
30/04/2020,1129,3
01/05/2020,1132,3
02/05/2020,1137,2
03/05/2020,1138,2
04/05/2020,1139,0
05/05/2020,1140,0
06/05/2020,1141,1
07/05/2020,1142,1
08/05/2020,1143,2
09/05/2020,1144,1
10/05/2020,1145,2
11/05/2020,1146,3
12/05/2020,1147,0
13/05/2020,1148,0
14/05/2020,1148,0
15/05/2020,1148,1
